年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
1985,花壇用苗もの類_サルビア,神奈川県,200,728
1986,花壇用苗もの類_サルビア,神奈川県,201,798
1987,花壇用苗もの類_サルビア,神奈川県,132,494
1988,花壇用苗もの類_サルビア,神奈川県,140,522
1989,花壇用苗もの類_サルビア,神奈川県,140,523
1990,花壇用苗もの類_サルビア,神奈川県,170,630
1991,花壇用苗もの類_サルビア,神奈川県,161,614
1992,花壇用苗もの類_サルビア,神奈川県,186,762
1993,花壇用苗もの類_サルビア,神奈川県,213,735
1994,花壇用苗もの類_サルビア,神奈川県,218,741
1995,花壇用苗もの類_サルビア,神奈川県,197,645
1996,花壇用苗もの類_サルビア,神奈川県,190,694
1997,花壇用苗もの類_サルビア,神奈川県,186,755
1998,花壇用苗もの類_サルビア,神奈川県,220,879
1999,花壇用苗もの類_サルビア,神奈川県,196,665
2000,花壇用苗もの類_サルビア,神奈川県,213,658
2001,花壇用苗もの類_サルビア,神奈川県,193,606
