年,品目,都道府県,作付面積（ha）,収穫量（t）,出荷量（t）
2018,陸稲,宮城県,NA,NA,NA
2019,陸稲,宮城県,NA,NA,NA
2020,陸稲,宮城県,NA,NA,NA
2021,陸稲,宮城県,NA,NA,NA
1985,陸稲,秋田県,83,188,169.2
1986,陸稲,秋田県,81,192,172.8
1987,陸稲,秋田県,117,257,231.3
1988,陸稲,秋田県,251,522,469.8
1989,陸稲,秋田県,261,454,408.6
1990,陸稲,秋田県,260,585,526.5
1991,陸稲,秋田県,261,532,478.8
1992,陸稲,秋田県,241,552,496.8
1993,陸稲,秋田県,232,51,45.9
1994,陸稲,秋田県,229,440,396
1995,陸稲,秋田県,182,364,327.6
1996,陸稲,秋田県,127,267,240.3
1997,陸稲,秋田県,102,219,197.1
1998,陸稲,秋田県,82,177,159.3
1999,陸稲,秋田県,68,136,122.4
2000,陸稲,秋田県,41,85,76.5
2001,陸稲,秋田県,24,53,47.7
2002,陸稲,秋田県,23,48,43.2
2003,陸稲,秋田県,20,19,17.1
2004,陸稲,秋田県,12,24,21.6
2005,陸稲,秋田県,2,4,NA
2006,陸稲,秋田県,2,4,NA
2007,陸稲,秋田県,2,4,NA
2008,陸稲,秋田県,2,4,NA
2009,陸稲,秋田県,2,4,NA
2010,陸稲,秋田県,2,4,NA
2011,陸稲,秋田県,1,2,NA
2012,陸稲,秋田県,1,1,NA
2013,陸稲,秋田県,1,1,NA
2014,陸稲,秋田県,0,1,NA
2015,陸稲,秋田県,0,0,NA
2016,陸稲,秋田県,NA,NA,NA
2017,陸稲,秋田県,NA,NA,NA
2018,陸稲,秋田県,NA,NA,NA
2019,陸稲,秋田県,NA,NA,NA
2020,陸稲,秋田県,NA,NA,NA
2021,陸稲,秋田県,NA,NA,NA
1985,陸稲,山形県,8,4,NA
1986,陸稲,山形県,5,9,8.1
1987,陸稲,山形県,6,11,9.9
1988,陸稲,山形県,7,12,10.8
1989,陸稲,山形県,12,21,18.9
1990,陸稲,山形県,11,21,18.9
1991,陸稲,山形県,12,23,20.7
1992,陸稲,山形県,10,21,18.9
1993,陸稲,山形県,10,9,8.1
1994,陸稲,山形県,10,11,9.9
1995,陸稲,山形県,5,7,6.3
1996,陸稲,山形県,5,8,7.2
1997,陸稲,山形県,3,5,4.5
1998,陸稲,山形県,3,6,5.4
1999,陸稲,山形県,1,2,NA
2000,陸稲,山形県,1,1,NA
2001,陸稲,山形県,1,1,NA
2002,陸稲,山形県,0,1,NA
2003,陸稲,山形県,0,0,NA
2004,陸稲,山形県,0,0,NA
2005,陸稲,山形県,0,0,NA
2006,陸稲,山形県,0,0,NA
2007,陸稲,山形県,0,0,NA
2008,陸稲,山形県,0,1,NA
2009,陸稲,山形県,0,1,NA
2010,陸稲,山形県,0,0,NA
2011,陸稲,山形県,0,0,NA
2012,陸稲,山形県,0,0,NA
2013,陸稲,山形県,NA,NA,NA
2014,陸稲,山形県,NA,NA,NA
2015,陸稲,山形県,NA,NA,NA
2016,陸稲,山形県,NA,NA,NA
2017,陸稲,山形県,NA,NA,NA
2018,陸稲,山形県,NA,NA,NA
2019,陸稲,山形県,NA,NA,NA
2020,陸稲,山形県,NA,NA,NA
2021,陸稲,山形県,NA,NA,NA
1985,陸稲,福島県,739,1140,1026
1986,陸稲,福島県,591,1440,1296
1987,陸稲,福島県,614,1420,1278
1988,陸稲,福島県,687,1180,1062
1989,陸稲,福島県,697,1420,1278
1990,陸稲,福島県,643,1110,999
1991,陸稲,福島県,540,945,850.5
1992,陸稲,福島県,406,666,599.4
1993,陸稲,福島県,324,463,416.7
1994,陸稲,福島県,290,432,388.8
1995,陸稲,福島県,248,481,432.9
1996,陸稲,福島県,136,215,193.5
1997,陸稲,福島県,102,187,168.3
1998,陸稲,福島県,98,178,160.2
1999,陸稲,福島県,89,143,128.7
2000,陸稲,福島県,71,127,114.3
2001,陸稲,福島県,46,80,72
2002,陸稲,福島県,35,61,54.9
2003,陸稲,福島県,25,39,35.1
2004,陸稲,福島県,24,36,32.4
2005,陸稲,福島県,24,40,36
2006,陸稲,福島県,25,45,40.5
2007,陸稲,福島県,16,25,22.5
2008,陸稲,福島県,14,24,21.6
2009,陸稲,福島県,11,18,16.2
2010,陸稲,福島県,8,12,10.8
2011,陸稲,福島県,4,8,7.2
2012,陸稲,福島県,4,5,4.5
2013,陸稲,福島県,3,6,5.4
2014,陸稲,福島県,3,6,5.4
2015,陸稲,福島県,2,4,NA
2016,陸稲,福島県,2,4,NA
2017,陸稲,福島県,2,2,NA
2018,陸稲,福島県,NA,NA,NA
2019,陸稲,福島県,NA,NA,NA
2020,陸稲,福島県,1,NA,NA
2021,陸稲,福島県,NA,NA,NA
1985,陸稲,茨城県,9420,20800,18720
1986,陸稲,茨城県,9600,25500,22950
1987,陸稲,茨城県,9690,25600,23040
1988,陸稲,茨城県,9700,19900,17910
1989,陸稲,茨城県,9630,23100,20790
1990,陸稲,茨城県,8300,17100,15390
1991,陸稲,茨城県,7300,20100,18090
1992,陸稲,茨城県,6500,13700,12330
1993,陸稲,茨城県,6260,12300,11070
1994,陸稲,茨城県,6550,10700,9630
1995,陸稲,茨城県,6110,14100,12690
1996,陸稲,茨城県,5310,9880,8892
1997,陸稲,茨城県,5190,13100,11790
1998,陸稲,茨城県,4900,13700,12330
1999,陸稲,茨城県,4680,10300,9270
2000,陸稲,茨城県,4480,12000,10800
2001,陸稲,茨城県,4280,5560,5004
2002,陸稲,茨城県,3720,8520,7668
2003,陸稲,茨城県,3350,8880,7992
2004,陸稲,茨城県,3190,6670,6003
2005,陸稲,茨城県,3040,8570,7713
2006,陸稲,茨城県,2760,6930,6237
2007,陸稲,茨城県,2410,6700,6030
2008,陸稲,茨城県,2130,6010,5409
2009,陸稲,茨城県,2030,5870,5283
2010,陸稲,茨城県,1970,3760,3384
2011,陸稲,茨城県,1550,3530,3177
2012,陸稲,茨城県,1390,2310,2079
2013,陸稲,茨城県,1190,2980,2682
2014,陸稲,茨城県,956,2550,2295
2015,陸稲,茨城県,784,1850,1665
2016,陸稲,茨城県,652,1380,1242
2017,陸稲,茨城県,580,1420,1278
2018,陸稲,茨城県,528,1300,1170
2019,陸稲,茨城県,487,1170,1053
2020,陸稲,茨城県,447,1100,990
2021,陸稲,茨城県,402,969,872.1
1985,陸稲,栃木県,4810,9140,8226
1986,陸稲,栃木県,4540,10800,9720
1987,陸稲,栃木県,4510,11600,10440
1988,陸稲,栃木県,4740,8530,7677
1989,陸稲,栃木県,4240,9030,8127
1990,陸稲,栃木県,3740,7330,6597
1991,陸稲,栃木県,3060,7830,7047
1992,陸稲,栃木県,2600,4990,4491
1993,陸稲,栃木県,2280,4150,3735
1994,陸稲,栃木県,2120,4300,3870
1995,陸稲,栃木県,2310,4900,4410
1996,陸稲,栃木県,1610,1920,1728
1997,陸稲,栃木県,1450,3840,3456
1998,陸稲,栃木県,1380,3480,3132
1999,陸稲,栃木県,1220,2750,2475
2000,陸稲,栃木県,1190,3240,2916
2001,陸稲,栃木県,898,1770,1593
2002,陸稲,栃木県,853,2080,1872
2003,陸稲,栃木県,800,1950,1755
2004,陸稲,栃木県,757,1880,1692
2005,陸稲,栃木県,796,2090,1881
2006,陸稲,栃木県,809,2120,1908
2007,陸稲,栃木県,757,1850,1665
2008,陸稲,栃木県,688,1770,1593
2009,陸稲,栃木県,663,1770,1593
2010,陸稲,栃木県,658,1320,1188
2011,陸稲,栃木県,603,1300,1170
2012,陸稲,栃木県,533,1020,918
2013,陸稲,栃木県,404,1110,999
2014,陸稲,栃木県,361,899,809.1
2015,陸稲,栃木県,303,709,638.1
2016,陸稲,栃木県,232,554,498.6
2017,陸稲,栃木県,191,435,391.5
2018,陸稲,栃木県,183,377,339.3
2019,陸稲,栃木県,179,378,340.2
2020,陸稲,栃木県,165,348,313.2
2021,陸稲,栃木県,130,259,233.1
1985,陸稲,群馬県,600,1070,963
1986,陸稲,群馬県,639,1430,1287
1987,陸稲,群馬県,697,1690,1521
1988,陸稲,群馬県,803,1480,1332
1989,陸稲,群馬県,791,1630,1467
1990,陸稲,群馬県,706,967,870.3
1991,陸稲,群馬県,576,1330,1197
1992,陸稲,群馬県,466,727,654.3
1993,陸稲,群馬県,409,614,552.6
1994,陸稲,群馬県,394,575,517.5
1995,陸稲,群馬県,372,629,566.1
1996,陸稲,群馬県,324,457,411.3
1997,陸稲,群馬県,224,497,447.3
1998,陸稲,群馬県,196,423,380.7
1999,陸稲,群馬県,154,322,289.8
2000,陸稲,群馬県,130,234,210.6
2001,陸稲,群馬県,119,201,180.9
2002,陸稲,群馬県,106,181,162.9
2003,陸稲,群馬県,98,181,162.9
2004,陸稲,群馬県,93,152,136.8
2005,陸稲,群馬県,88,164,147.6
2006,陸稲,群馬県,57,92,82.8
2007,陸稲,群馬県,48,77,69.3
2008,陸稲,群馬県,34,59,53.1
2009,陸稲,群馬県,27,52,46.8
2010,陸稲,群馬県,25,36,32.4
2011,陸稲,群馬県,20,35,31.5
2012,陸稲,群馬県,20,30,27
2013,陸稲,群馬県,17,27,24.3
2014,陸稲,群馬県,13,21,18.9
2015,陸稲,群馬県,11,18,16.2
2016,陸稲,群馬県,7,11,9.9
2017,陸稲,群馬県,3,5,4.5
2018,陸稲,群馬県,NA,NA,NA
2019,陸稲,群馬県,NA,NA,NA
2020,陸稲,群馬県,NA,NA,NA
2021,陸稲,群馬県,NA,NA,NA
1985,陸稲,埼玉県,695,848,763.2
1986,陸稲,埼玉県,674,1190,1071
1987,陸稲,埼玉県,656,787,708.3
1988,陸稲,埼玉県,624,1240,1116
1989,陸稲,埼玉県,621,1170,1053
1990,陸稲,埼玉県,605,369,332.1
1991,陸稲,埼玉県,552,1030,927
1992,陸稲,埼玉県,505,636,572.4
1993,陸稲,埼玉県,456,839,755.1
1994,陸稲,埼玉県,422,283,254.7
1995,陸稲,埼玉県,382,558,502.2
1996,陸稲,埼玉県,367,275,247.5
1997,陸稲,埼玉県,283,577,519.3
1998,陸稲,埼玉県,246,455,409.5
1999,陸稲,埼玉県,217,365,328.5
2000,陸稲,埼玉県,207,352,316.8
2001,陸稲,埼玉県,195,152,136.8
2002,陸稲,埼玉県,182,317,285.3
2003,陸稲,埼玉県,170,340,306
2004,陸稲,埼玉県,160,45,40.5
2005,陸稲,埼玉県,126,265,238.5
2006,陸稲,埼玉県,113,225,202.5
2007,陸稲,埼玉県,109,207,186.3
2008,陸稲,埼玉県,101,190,171
2009,陸稲,埼玉県,76,166,149.4
2010,陸稲,埼玉県,67,78,70.2
2011,陸稲,埼玉県,61,100,90
2012,陸稲,埼玉県,51,66,59.4
2013,陸稲,埼玉県,29,20,18
2014,陸稲,埼玉県,12,18,16.2
2015,陸稲,埼玉県,8,10,9
2016,陸稲,埼玉県,4,5,4.5
2017,陸稲,埼玉県,2,2,NA
2018,陸稲,埼玉県,NA,NA,NA
2019,陸稲,埼玉県,NA,NA,NA
2020,陸稲,埼玉県,0,NA,NA
2021,陸稲,埼玉県,NA,NA,NA
1985,陸稲,千葉県,287,505,454.5
1986,陸稲,千葉県,303,718,646.2
1987,陸稲,千葉県,392,976,878.4
1988,陸稲,千葉県,496,952,856.8
1989,陸稲,千葉県,640,1520,1368
1990,陸稲,千葉県,665,1090,981
1991,陸稲,千葉県,677,1440,1296
1992,陸稲,千葉県,664,1010,909
1993,陸稲,千葉県,623,1260,1134
1994,陸稲,千葉県,628,741,666.9
1995,陸稲,千葉県,601,895,805.5
1996,陸稲,千葉県,538,855,769.5
1997,陸稲,千葉県,456,830,747
1998,陸稲,千葉県,455,937,843.3
1999,陸稲,千葉県,448,753,677.7
2000,陸稲,千葉県,427,965,868.5
2001,陸稲,千葉県,386,452,406.8
2002,陸稲,千葉県,334,618,556.2
2003,陸稲,千葉県,275,534,480.6
2004,陸稲,千葉県,226,181,162.9
2005,陸稲,千葉県,209,393,353.7
2006,陸稲,千葉県,173,360,324
2007,陸稲,千葉県,154,270,243
2008,陸稲,千葉県,137,262,235.8
2009,陸稲,千葉県,112,223,200.7
2010,陸稲,千葉県,87,111,99.9
2011,陸稲,千葉県,70,126,113.4
2012,陸稲,千葉県,57,105,94.5
2013,陸稲,千葉県,45,78,70.2
2014,陸稲,千葉県,39,80,72
2015,陸稲,千葉県,36,64,57.6
2016,陸稲,千葉県,31,76,68.4
2017,陸稲,千葉県,22,34,30.6
2018,陸稲,千葉県,NA,NA,NA
2019,陸稲,千葉県,NA,NA,NA
2020,陸稲,千葉県,19,NA,NA
2021,陸稲,千葉県,NA,NA,NA
1985,陸稲,東京都,155,293,263.7
1986,陸稲,東京都,138,255,229.5
1987,陸稲,東京都,123,237,213.3
1988,陸稲,東京都,118,186,167.4
1989,陸稲,東京都,108,205,184.5
1990,陸稲,東京都,105,70,63
1991,陸稲,東京都,99,182,163.8
1992,陸稲,東京都,85,82,73.8
1993,陸稲,東京都,79,136,122.4
1994,陸稲,東京都,69,111,99.9
1995,陸稲,東京都,59,102,91.8
1996,陸稲,東京都,53,45,40.5
1997,陸稲,東京都,43,75,67.5
1998,陸稲,東京都,39,68,61.2
1999,陸稲,東京都,40,72,64.8
2000,陸稲,東京都,39,67,60.3
2001,陸稲,東京都,34,51,45.9
2002,陸稲,東京都,29,51,45.9
2003,陸稲,東京都,29,51,45.9
2004,陸稲,東京都,29,45,40.5
2005,陸稲,東京都,29,54,48.6
2006,陸稲,東京都,27,53,47.7
2007,陸稲,東京都,24,16,14.4
2008,陸稲,東京都,21,35,31.5
2009,陸稲,東京都,21,36,32.4
2010,陸稲,東京都,15,16,14.4
2011,陸稲,東京都,11,14,12.6
2012,陸稲,東京都,6,6,5.4
2013,陸稲,東京都,5,6,5.4
2014,陸稲,東京都,3,5,4.5
2015,陸稲,東京都,1,2,NA
2016,陸稲,東京都,1,2,NA
2017,陸稲,東京都,2,3,NA
2018,陸稲,東京都,NA,NA,NA
2019,陸稲,東京都,NA,NA,NA
2020,陸稲,東京都,1,NA,NA
2021,陸稲,東京都,NA,NA,NA
1985,陸稲,神奈川県,339,668,601.2
1986,陸稲,神奈川県,334,748,673.2
1987,陸稲,神奈川県,306,575,517.5
1988,陸稲,神奈川県,284,534,480.6
1989,陸稲,神奈川県,270,591,531.9
1990,陸稲,神奈川県,244,266,239.4
1991,陸稲,神奈川県,209,439,395.1
1992,陸稲,神奈川県,189,164,147.6
1993,陸稲,神奈川県,175,361,324.9
1994,陸稲,神奈川県,167,87,78.3
1995,陸稲,神奈川県,147,37,33.3
1996,陸稲,神奈川県,91,109,98.1
1997,陸稲,神奈川県,75,133,119.7
1998,陸稲,神奈川県,68,143,128.7
1999,陸稲,神奈川県,65,123,110.7
2000,陸稲,神奈川県,56,109,98.1
2001,陸稲,神奈川県,49,69,62.1
2002,陸稲,神奈川県,44,59,53.1
2003,陸稲,神奈川県,40,81,72.9
2004,陸稲,神奈川県,27,47,42.3
2005,陸稲,神奈川県,25,49,44.1
2006,陸稲,神奈川県,21,41,36.9
2007,陸稲,神奈川県,22,41,36.9
2008,陸稲,神奈川県,17,25,22.5
2009,陸稲,神奈川県,17,37,33.3
2010,陸稲,神奈川県,17,28,25.2
2011,陸稲,神奈川県,15,28,25.2
2012,陸稲,神奈川県,15,23,20.7
2013,陸稲,神奈川県,12,18,16.2
2014,陸稲,神奈川県,11,12,10.8
2015,陸稲,神奈川県,7,15,13.5
2016,陸稲,神奈川県,5,10,9
2017,陸稲,神奈川県,5,9,8.1
2018,陸稲,神奈川県,NA,NA,NA
2019,陸稲,神奈川県,NA,NA,NA
2020,陸稲,神奈川県,NA,NA,NA
2021,陸稲,神奈川県,NA,NA,NA
1985,陸稲,新潟県,99,100,90
1986,陸稲,新潟県,78,140,126
1987,陸稲,新潟県,90,228,205.2
1988,陸稲,新潟県,110,248,223.2
1989,陸稲,新潟県,90,216,194.4
1990,陸稲,新潟県,83,181,162.9
1991,陸稲,新潟県,63,167,150.3
1992,陸稲,新潟県,65,134,120.6
1993,陸稲,新潟県,45,89,80.1
1994,陸稲,新潟県,34,44,39.6
1995,陸稲,新潟県,19,41,36.9
1996,陸稲,新潟県,12,29,26.1
1997,陸稲,新潟県,8,21,18.9
1998,陸稲,新潟県,9,27,24.3
1999,陸稲,新潟県,11,21,18.9
2000,陸稲,新潟県,11,26,23.4
2001,陸稲,新潟県,14,36,32.4
2002,陸稲,新潟県,13,34,30.6
2003,陸稲,新潟県,11,27,24.3
2004,陸稲,新潟県,10,24,21.6
2005,陸稲,新潟県,7,16,14.4
2006,陸稲,新潟県,7,15,13.5
2007,陸稲,新潟県,5,14,12.6
2008,陸稲,新潟県,5,13,11.7
2009,陸稲,新潟県,4,10,9
2010,陸稲,新潟県,4,9,8.1
2011,陸稲,新潟県,3,6,5.4
2012,陸稲,新潟県,3,6,5.4
2013,陸稲,新潟県,3,8,7.2
2014,陸稲,新潟県,3,7,6.3
2015,陸稲,新潟県,3,6,5.4
2016,陸稲,新潟県,2,5,4.5
2017,陸稲,新潟県,2,4,NA
2018,陸稲,新潟県,NA,NA,NA
2019,陸稲,新潟県,NA,NA,NA
2020,陸稲,新潟県,NA,NA,NA
2021,陸稲,新潟県,NA,NA,NA
1985,陸稲,山梨県,12,18,16.2
1986,陸稲,山梨県,12,20,18
1987,陸稲,山梨県,11,19,17.1
1988,陸稲,山梨県,10,15,13.5
1989,陸稲,山梨県,10,16,14.4
1990,陸稲,山梨県,10,11,9.9
1991,陸稲,山梨県,9,15,13.5
1992,陸稲,山梨県,9,14,12.6
1993,陸稲,山梨県,8,13,11.7
1994,陸稲,山梨県,7,9,8.1
1995,陸稲,山梨県,8,10,9
1996,陸稲,山梨県,7,10,9
1997,陸稲,山梨県,4,6,5.4
1998,陸稲,山梨県,2,3,NA
1999,陸稲,山梨県,2,3,NA
2000,陸稲,山梨県,1,2,NA
2001,陸稲,山梨県,0,0,NA
2002,陸稲,山梨県,NA,NA,NA
2003,陸稲,山梨県,NA,NA,NA
2004,陸稲,山梨県,NA,NA,NA
2005,陸稲,山梨県,NA,NA,NA
2006,陸稲,山梨県,NA,NA,NA
2007,陸稲,山梨県,NA,NA,NA
2008,陸稲,山梨県,NA,NA,NA
2009,陸稲,山梨県,NA,NA,NA
2010,陸稲,山梨県,NA,NA,NA
2011,陸稲,山梨県,NA,NA,NA
2012,陸稲,山梨県,NA,NA,NA
2013,陸稲,山梨県,NA,NA,NA
2014,陸稲,山梨県,NA,NA,NA
2015,陸稲,山梨県,NA,NA,NA
2016,陸稲,山梨県,NA,NA,NA
2017,陸稲,山梨県,NA,NA,NA
2018,陸稲,山梨県,NA,NA,NA
2019,陸稲,山梨県,NA,NA,NA
2020,陸稲,山梨県,NA,NA,NA
2021,陸稲,山梨県,NA,NA,NA
1985,陸稲,長野県,10,16,14.4
1986,陸稲,長野県,9,20,18
1987,陸稲,長野県,5,12,10.8
1988,陸稲,長野県,5,13,11.7
1989,陸稲,長野県,6,14,12.6
1990,陸稲,長野県,4,9,8.1
1991,陸稲,長野県,3,7,6.3
1992,陸稲,長野県,3,6,5.4
1993,陸稲,長野県,2,3,NA
1994,陸稲,長野県,3,3,NA
1995,陸稲,長野県,3,3,NA
1996,陸稲,長野県,2,3,NA
1997,陸稲,長野県,1,2,NA
1998,陸稲,長野県,0,0,NA
1999,陸稲,長野県,1,2,NA
2000,陸稲,長野県,NA,NA,NA
2001,陸稲,長野県,NA,NA,NA
2002,陸稲,長野県,NA,NA,NA
2003,陸稲,長野県,NA,NA,NA
2004,陸稲,長野県,NA,NA,NA
2005,陸稲,長野県,NA,NA,NA
2006,陸稲,長野県,NA,NA,NA
2007,陸稲,長野県,NA,NA,NA
2008,陸稲,長野県,NA,NA,NA
2009,陸稲,長野県,NA,NA,NA
2010,陸稲,長野県,NA,NA,NA
2011,陸稲,長野県,NA,NA,NA
2012,陸稲,長野県,NA,NA,NA
2013,陸稲,長野県,NA,NA,NA
2014,陸稲,長野県,NA,NA,NA
2015,陸稲,長野県,NA,NA,NA
2016,陸稲,長野県,NA,NA,NA
2017,陸稲,長野県,NA,NA,NA
2018,陸稲,長野県,NA,NA,NA
2019,陸稲,長野県,NA,NA,NA
2020,陸稲,長野県,NA,NA,NA
2021,陸稲,長野県,NA,NA,NA
1985,陸稲,岐阜県,195,359,323.1
1986,陸稲,岐阜県,187,236,212.4
1987,陸稲,岐阜県,167,324,291.6
1988,陸稲,岐阜県,116,313,281.7
1989,陸稲,岐阜県,101,164,147.6
1990,陸稲,岐阜県,92,132,118.8
1991,陸稲,岐阜県,75,153,137.7
1992,陸稲,岐阜県,64,114,102.6
1993,陸稲,岐阜県,55,94,84.6
1994,陸稲,岐阜県,46,62,55.8
1995,陸稲,岐阜県,34,29,26.1
1996,陸稲,岐阜県,26,40,36
1997,陸稲,岐阜県,23,34,30.6
1998,陸稲,岐阜県,21,28,25.2
1999,陸稲,岐阜県,21,32,28.8
2000,陸稲,岐阜県,19,29,26.1
2001,陸稲,岐阜県,18,27,24.3
2002,陸稲,岐阜県,5,6,5.4
2003,陸稲,岐阜県,4,7,6.3
2004,陸稲,岐阜県,3,3,NA
2005,陸稲,岐阜県,3,3,NA
2006,陸稲,岐阜県,2,2,NA
2007,陸稲,岐阜県,2,2,NA
2008,陸稲,岐阜県,1,1,NA
2009,陸稲,岐阜県,1,1,NA
2010,陸稲,岐阜県,1,1,NA
2011,陸稲,岐阜県,0,0,NA
2012,陸稲,岐阜県,NA,NA,NA
2013,陸稲,岐阜県,NA,NA,NA
2014,陸稲,岐阜県,NA,NA,NA
2015,陸稲,岐阜県,NA,NA,NA
2016,陸稲,岐阜県,NA,NA,NA
2017,陸稲,岐阜県,NA,NA,NA
2018,陸稲,岐阜県,NA,NA,NA
2019,陸稲,岐阜県,NA,NA,NA
2020,陸稲,岐阜県,NA,NA,NA
2021,陸稲,岐阜県,NA,NA,NA
1985,陸稲,静岡県,141,347,312.3
1986,陸稲,静岡県,120,308,277.2
1987,陸稲,静岡県,105,248,223.2
1988,陸稲,静岡県,96,207,186.3
1989,陸稲,静岡県,90,206,185.4
1990,陸稲,静岡県,87,173,155.7
1991,陸稲,静岡県,86,198,178.2
1992,陸稲,静岡県,73,162,145.8
1993,陸稲,静岡県,67,149,134.1
1994,陸稲,静岡県,54,65,58.5
1995,陸稲,静岡県,48,50,45
1996,陸稲,静岡県,47,110,99
1997,陸稲,静岡県,44,88,79.2
1998,陸稲,静岡県,38,124,111.6
1999,陸稲,静岡県,33,67,60.3
2000,陸稲,静岡県,30,70,63
2001,陸稲,静岡県,25,53,47.7
2002,陸稲,静岡県,18,40,36
2003,陸稲,静岡県,14,33,29.7
2004,陸稲,静岡県,11,25,22.5
2005,陸稲,静岡県,8,18,16.2
2006,陸稲,静岡県,8,18,16.2
2007,陸稲,静岡県,8,17,15.3
2008,陸稲,静岡県,2,5,4.5
2009,陸稲,静岡県,2,4,NA
2010,陸稲,静岡県,1,3,NA
2011,陸稲,静岡県,0,0,NA
2012,陸稲,静岡県,0,1,NA
2013,陸稲,静岡県,0,1,NA
2014,陸稲,静岡県,1,2,NA
2015,陸稲,静岡県,1,1,NA
2016,陸稲,静岡県,1,1,NA
2017,陸稲,静岡県,1,1,NA
2018,陸稲,静岡県,NA,NA,NA
2019,陸稲,静岡県,NA,NA,NA
2020,陸稲,静岡県,0,NA,NA
2021,陸稲,静岡県,NA,NA,NA
1985,陸稲,愛知県,72,130,117
1986,陸稲,愛知県,64,110,99
1987,陸稲,愛知県,65,86,77.4
1988,陸稲,愛知県,56,110,99
1989,陸稲,愛知県,41,74,66.6
1990,陸稲,愛知県,36,54,48.6
1991,陸稲,愛知県,29,55,49.5
1992,陸稲,愛知県,27,49,44.1
1993,陸稲,愛知県,23,40,36
1994,陸稲,愛知県,20,11,9.9
1995,陸稲,愛知県,18,12,10.8
1996,陸稲,愛知県,16,21,18.9
1997,陸稲,愛知県,13,23,20.7
1998,陸稲,愛知県,12,18,16.2
1999,陸稲,愛知県,10,17,15.3
2000,陸稲,愛知県,3,4,NA
2001,陸稲,愛知県,4,6,5.4
2002,陸稲,愛知県,3,3,NA
2003,陸稲,愛知県,3,4,NA
2004,陸稲,愛知県,3,4,NA
2005,陸稲,愛知県,3,4,NA
2006,陸稲,愛知県,3,4,NA
2007,陸稲,愛知県,2,3,NA
2008,陸稲,愛知県,0,0,NA
2009,陸稲,愛知県,0,0,NA
2010,陸稲,愛知県,0,0,NA
2011,陸稲,愛知県,0,0,NA
2012,陸稲,愛知県,0,0,NA
2013,陸稲,愛知県,NA,NA,NA
2014,陸稲,愛知県,NA,NA,NA
2015,陸稲,愛知県,NA,NA,NA
2016,陸稲,愛知県,NA,NA,NA
2017,陸稲,愛知県,NA,NA,NA
2018,陸稲,愛知県,NA,NA,NA
2019,陸稲,愛知県,NA,NA,NA
2020,陸稲,愛知県,NA,NA,NA
2021,陸稲,愛知県,NA,NA,NA
1985,陸稲,三重県,91,165,148.5
1986,陸稲,三重県,91,146,131.4
1987,陸稲,三重県,88,147,132.3
1988,陸稲,三重県,79,138,124.2
1989,陸稲,三重県,78,143,128.7
1990,陸稲,三重県,73,90,81
1991,陸稲,三重県,65,116,104.4
1992,陸稲,三重県,53,91,81.9
1993,陸稲,三重県,41,73,65.7
1994,陸稲,三重県,39,26,23.4
1995,陸稲,三重県,34,22,19.8
1996,陸稲,三重県,31,32,28.8
1997,陸稲,三重県,21,35,31.5
1998,陸稲,三重県,12,20,18
1999,陸稲,三重県,10,17,15.3
2000,陸稲,三重県,5,7,6.3
2001,陸稲,三重県,5,9,8.1
2002,陸稲,三重県,2,3,NA
2003,陸稲,三重県,2,3,NA
2004,陸稲,三重県,0,0,NA
2005,陸稲,三重県,1,1,NA
2006,陸稲,三重県,1,1,NA
2007,陸稲,三重県,0,0,NA
2008,陸稲,三重県,0,0,NA
2009,陸稲,三重県,0,0,NA
2010,陸稲,三重県,NA,NA,NA
2011,陸稲,三重県,NA,NA,NA
2012,陸稲,三重県,NA,NA,NA
2013,陸稲,三重県,NA,NA,NA
2014,陸稲,三重県,NA,NA,NA
2015,陸稲,三重県,NA,NA,NA
2016,陸稲,三重県,NA,NA,NA
2017,陸稲,三重県,NA,NA,NA
2018,陸稲,三重県,NA,NA,NA
2019,陸稲,三重県,NA,NA,NA
2020,陸稲,三重県,NA,NA,NA
2021,陸稲,三重県,NA,NA,NA
1985,陸稲,岡山県,6,11,9.9
1986,陸稲,岡山県,5,9,8.1
1987,陸稲,岡山県,3,6,5.4
1988,陸稲,岡山県,3,7,6.3
1989,陸稲,岡山県,3,6,5.4
1990,陸稲,岡山県,4,5,4.5
1991,陸稲,岡山県,5,11,9.9
1992,陸稲,岡山県,6,14,12.6
1993,陸稲,岡山県,6,13,11.7
1994,陸稲,岡山県,7,8,7.2
1995,陸稲,岡山県,6,13,11.7
1996,陸稲,岡山県,4,8,7.2
1997,陸稲,岡山県,2,4,NA
1998,陸稲,岡山県,2,4,NA
1999,陸稲,岡山県,1,3,NA
2000,陸稲,岡山県,1,1,NA
2001,陸稲,岡山県,1,2,NA
2002,陸稲,岡山県,0,1,NA
2003,陸稲,岡山県,0,0,NA
2004,陸稲,岡山県,0,0,NA
2005,陸稲,岡山県,0,0,NA
2006,陸稲,岡山県,0,0,NA
2007,陸稲,岡山県,NA,NA,NA
2008,陸稲,岡山県,NA,NA,NA
2009,陸稲,岡山県,NA,NA,NA
2010,陸稲,岡山県,NA,NA,NA
2011,陸稲,岡山県,NA,NA,NA
2012,陸稲,岡山県,NA,NA,NA
2013,陸稲,岡山県,NA,NA,NA
2014,陸稲,岡山県,NA,NA,NA
2015,陸稲,岡山県,NA,NA,NA
2016,陸稲,岡山県,NA,NA,NA
2017,陸稲,岡山県,NA,NA,NA
2018,陸稲,岡山県,NA,NA,NA
2019,陸稲,岡山県,NA,NA,NA
